Product Type,Product Title,Variant Title,SKU,net30 Price,wholesale Price
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Ivory / Wash,WT-1428-T4-101,2.5,2.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom White / Wash,WT-1428-T4-100,2.5,2.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Maritime / Wash,WT-1428-T4-364,2.5,2.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Mimosa / Wash,WT-1428-T4-1026,2.5,2.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Beige / Wash,WT-1428-T4-406,2.5,2.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Mineral Green / Wash,WT-1428-T4-382,2.5,2.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Navy / Wash,WT-1428-T4-318,2.5,2.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Orange Punch / Wash,WT-1428-T4-1103,2.5,2.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Breeze Blue / Wash,WT-1428-T4-366,2.5,2.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Sky / Wash,WT-1428-T4-350,2.5,2.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Nickel / Wash,WT-1428-T4-205,2.5,2.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Mist / Wash,WT-1428-T4-250,,2.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Nickel / Hand,HT-1428-T4-205,3.5,3.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Ivory / Hand,HT-1428-T4-101,3.5,3.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Maritime / Hand,HT-1428-T4-364,3.5,3.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom White / Hand,HT-1428-T4-100,3.5,3.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Beige / Hand,HT-1428-T4-406,3.5,3.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Mimosa / Hand,HT-1428-T4-1026,3.5,3.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Orange Punch / Hand,HT-1428-T4-1103,3.5,3.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Navy / Hand,HT-1428-T4-318,3.5,3.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Breeze Blue / Hand,HT-1428-T4-366,3.5,3.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Mineral Green / Hand,HT-1428-T4-382,3.5,3.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Sky / Hand,HT-1428-T4-350,3.5,3.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Mist / Hand,HT-1428-T4-250,,3.5
Bath Towel,Candy Bath Towel Collection,Candyland / Wash,WT-1347-T4-1036,5,5
Bath Towel,Candy Bath Towel Collection,Seamist / Wash,WT-1347-T4-386,5,5
Bath Towel,Candy Bath Towel Collection,White / Wash,WT-1347-T4-100,5,5
Bath Towel,Candy Bath Towel Collection,Soft Shell Pink / Wash,WT-1347-T4-1031,5,5
Bath Towel,Candy Bath Towel Collection,Baby Mouse / Wash,WT-1347-T4-229,5,5
Bath Towel,Candy Bath Towel Collection,Cloud Dancer / Wash,WT-1347-T4-131,5,5
Bath Towel,Waffle Bath Towel Collection,Waffle White / WASH,WT-1382-T4-100,5,5
Bath Towel,Waffle Bath Towel Collection,Waffle Beige / WASH,WT-1382-T4-406,5,5
Bath Towel,Waffle Bath Towel Collection,Waffle Sky Turquoise / WASH,WT-1382-T4-356,5,5
Bath Towel,Waffle Bath Towel Collection,Waffle Dew / WASH,WT-1382-T4-400,5,5
Bath Towel,Waffle Bath Towel Collection,Waffle Ivory / WASH,WT-1382-T4-101,5,5
Bath Towel,Waffle Bath Towel Collection,Waffle Mist / WASH,WT-1382-T4-231,5,5
BATH TOWEL,Buenos Aires Bath Towel Collection,Buenos Aires Linen / Wash,TT-1304-T1-404,5,5
BATH TOWEL,Chloe Bath Towel Collection,Wash / Ebony,WT-1093-T1-900,5,5
Bath Towels,Emma Bath Towel Collection,White / Wash,WT-1281-T1-100,5,5
Bath Towels,Stella Bath Towel Collection,White / Wash,WT-1071-T2-100,5,5
Fancies,Chloe,Ebony / Wash,WT-1093-T1-900,5,5
Fancies,Milano,Grey Milano / Wash,WT-1323-T1-103,5,5
Fancies,Milano Bath Towel Collection,Mineral Milano / Wash,WT-1323-T1-302,5,5
Fancies,Paloma,Grey Paloma / Wash,WT-1324-T1-203,5,5
Fancies,Paloma Bath Towel Collection,Grey Paloma / Wash,WT-1324-T1-203,5,5
Solids,Noel,Silver / Wash,813232000000,5,5
Solids,Noel,Seagreen / Wash,813232000000,5,5
Solids,Noel,Whisper / Wash,813232000000,5,5
Solids,Noel Bath Towel,White / Wash,WT-1436-T1-100,5,5
Solids,Noel Bath Towel Collection,White / Wash,WT-1436-T1-100,5,5
Solids,Perugia Bath Towel,Vintage White / Wash,WT-1014-T4-122,5,5
Solids,Perugia Bath Towel,Vintage White / Wash,WT-1014-T4-122,5,5
Solids,Perugia Bath Towel,White / Wash,WT-1014-T4-100,5,5
Solids,Perugia Bath Towel,White / Wash,WT-1014-T4-100,5,5
Solids,Perugia Bath Towel Collection,Vintage White / Wash,WT-1014-T4-122,5,5
Solids,Perugia Bath Towel Collection,Mimosa / Wash,WT-1014-T4-1026,5,5
Solids,Perugia Bath Towel Collection,Dove / Wash,WT-1014-T4-217,5,5
Solids,Perugia Bath Towel Collection,Soft Shell Pink / Wash,WT-1014-T4-1031,5,5
Solids,Perugia Bath Towel Collection,White / Wash,WT-1014-T4-100,5,5
Solids,Perugia Bath Towel Collection,Seagreen / Wash,WT-1014-T4-806,5,5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom White / Tub Mat,TM-1428-T4-100,5.5,5.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Maritime / Tub Mat,TM-1428-T4-364,5.5,5.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Orange Punch / Tub Mat,TM-1428-T4-1103,5.5,5.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Beige / Tub Mat,TM-1428-T4-406,5.5,5.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Sky / Tub Mat,TM-1428-T4-350,5.5,5.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Navy / Tub Mat,TM-1428-T4-318,5.5,5.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Breeze Blue / Tub Mat,TM-1428-T4-366,5.5,5.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Nickel / Tub Mat,TM-1428-T4-205,5.5,5.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Mineral Green / Tub Mat,TM-1428-T4-382,5.5,5.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Ivory / Tub Mat,TM-1428-T4-101,,5.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Mist / Tub Mat,TM-1428-T4-250,,5.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Mimosa / Tub Mat,TM-1428-T4-1026,,5.5
Bath Towel,Microcotton Luxury Bath Towel Collection,Periwinkle / Wash,10102WAB25,6.5,6.5
Bath Towel,Microcotton Luxury Bath Towel Collection,Steel / Wash,10102WAK65,6.5,6.5
Bath Towel,Microcotton Luxury Bath Towel Collection,Azure / Wash,10102WAB56,6.5,6.5
Bath Towel,Microcotton Luxury Bath Towel Collection,Wheat / Wash,10102WAY35,6.5,6.5
Bath Towel,Microcotton Luxury Bath Towel Collection,Oat / Wash,10102WAO15,6.5,6.5
Bath Towel,Microcotton Luxury Bath Towel Collection,White / Wash,10102WAW01,6.5,6.5
Bath Towel,Microcotton Luxury Bath Towel Collection,Aqua / Wash,10102WAB26,6.5,6.5
Bath Towel,Microcotton Luxury Bath Towel Collection,Paprika / Wash,10102WAE85,6.5,6.5
Bath Towel,Microcotton Luxury Bath Towel Collection,Bamboo / Wash,10102WAG40,6.5,6.5
Bath Towel,Microcotton Luxury Bath Towel Collection,Claret / Wash,10102WAR90,6.5,6.5
Bath Towel,Microcotton Luxury Bath Towel Collection,Ivory / Wash,10102WAN01,6.5,6.5
Bath Towel,Microcotton Luxury Bath Towel Collection,Black / Wash,10102WAK98,6.5,6.5
Bath Towel,Microcotton Luxury Bath Towel Collection,Latte / Wash,10102WAO40,6.5,6.5
Bath Towel,Microcotton Luxury Bath Towel Collection,Navy / Wash,10102WAB90,6.5,6.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Sky / Bath,BT-1428-T4-350,6.5,6.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom White / Bath,BT-1428-T4-100,6.5,6.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Mimosa / Bath,BT-1428-T4-1026,6.5,6.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Beige / Bath,BT-1428-T4-406,6.5,6.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Nickel / Bath,BT-1428-T4-205,6.5,6.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Orange Punch / Bath,BT-1428-T4-1103,6.5,6.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Navy / Bath,BT-1428-T4-318,6.5,6.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Breeze Blue / Bath,BT-1428-T4-366,6.5,6.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Mineral Green / Bath,BT-1428-T4-382,6.5,6.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Maritime / Bath,BT-1428-T4-364,6.5,6.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Ivory / Bath,BT-1428-T4-101,6.5,6.5
Bath Towel,Microcotton Luxury Bath Towel Collection,Chocolate / Wash,10102WAO90,,6.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Mist / Bath,BT-1428-T4-250,,6.5
Solids,Santiago,Ivory with Mineral / Tip,WT-1322-T4-302,7,7
Solids,Santiago,White with Denim / Tip,WT-1322-T4-318,7,7
Solids,Santiago,White with Orange Punch / Tip,WT-1322-T4-1103,7,7
Solids,Santiago Bath Towel,Ivory with Mineral / Tip,WT-1322-T4-302,7,7
Solids,Santiago Bath Towel,White with Orange Punch / Tip,WT-1322-T4-1103,7,7
Solids,Santiago Bath Towel,White with Denim / Tip,WT-1322-T4-318,7,7
Solids,Santiago Bath Towel,Ivory with Mimosa / Tip,WT-1322-T4-1031,7,7
Solids,Santiago Bath Towel Collection,White with Eggshell / Tip,WT-1322-T1-356,7,7
Solids,Santiago Bath Towel Collection,White with Denim / Tip,WT-1322-T4-318,7,7
Solids,Santiago Bath Towel Collection,White with Linen / Tip,WT-1322-T1-404,7,7
Solids,Santiago Bath Towel Collection,Ivory with Mimosa / Tip,WT-1322-T4-1031,7,7
Solids,Santiago Bath Towel Collection,White with White / Tip,WT-1322-T1-100,7,7
Solids,Santiago Bath Towel Collection,White with White / Tip,WT-1322-T1-100,7,7
Solids,Santiago Bath Towel Collection,White with Grey / Tip,WT-1322-T1-203,7,7
Solids,Santiago Bath Towel Collection,Ivory with Mineral / Tip,WT-1322-t4-302,7,7
Solids,Santiago Bath Towel Collection,White with Orange Punch / Tip,WT-1322-T4-1103,7,7
Accessories,Isadora Bath Accessories,Shiny White / Tmblr,TUM-1152-A4-1200,8,8
Accessories,Isadora Bath Accessories,Shiny White / Tmblr,TUM-1152-A4-1200,8,8
Accessories,Isadora Bath Accessories,Shiny White / Dish,SD-1152-A4-1200,8,8
Accessories,Isadora Bath Accessories,Shiny White / Dish,SD-1152-A4-1200,8,8
Accessories,Medici Bath Accessories,Matte White / Dish,TR1-1066-A2-100,8,8
Accessories,Medici Bath Accessories,Matte White / Dish,TR1-1066-A2-100,8,8
Accessories,Medici Bath Accessories,Matte White / Tmblr,TUM-1066-A2-100,8,8
Accessories,Medici Bath Accessories,Matte White / Tmblr,TUM-1066-A2-100,8,8
Accessories,Petite Dot Bath Accessories,Dish,SD-1352-A2-100,8,8
Accessories,Petite Dot Bath Accessories,Tmblr,TUM-1352-A2-100,8,8
Bath Towel,Candy Bath Towel Collection,Soft Shell Pink / Hand,HT-1347-T4-1031,8,8
Bath Towel,Candy Bath Towel Collection,Cloud Dancer / Hand,HT-1347-T4-131,8,8
Bath Towel,Candy Bath Towel Collection,Seamist / Hand,HT-1347-T4-386,8,8
Bath Towel,Candy Bath Towel Collection,White / Hand,HT-1347-T4-100,8,8
Bath Towel,Candy Bath Towel Collection,Baby Mouse / Hand,HT-1347-T4-229,8,8
Bath Towel,Candy Bath Towel Collection,Candyland / Hand,HT-1347-T4-1036,8,8
Bath Towel,Waffle Bath Towel Collection,Waffle Sky Turquoise / HAND,HT-1382-T4-356,8,8
Bath Towel,Waffle Bath Towel Collection,Waffle Mist / HAND,HT-1382-T4-231,8,8
Bath Towel,Waffle Bath Towel Collection,Waffle White / HAND,HT-1382-T4-100,8,8
Bath Towel,Waffle Bath Towel Collection,Waffle Dew / HAND,HT-1382-T4-400,8,8
Bath Towel,Waffle Bath Towel Collection,Waffle Beige / HAND,HT-1382-T4-406,8,8
Bath Towel,Waffle Bath Towel Collection,Waffle Ivory / HAND,HT-1382-T4-101,8,8
BATH TOWEL,Buenos Aires Bath Towel Collection,Buenos Aires Linen / Hand,HT-1304-T1-404,8,8
BATH TOWEL,Chloe Bath Towel Collection,Hand / Ebony,HT-1093-T1-900,8,8
Bath Towels,Belize Bath Towel Collection,White / Hand,HT-1392-T4-100,8,8
Bath Towels,Cooper Bath Towel Collection,White / Hand,HT-1027-T1-100,8,8
Bath Towels,Emma Bath Towel Collection,White / Hand,HT-1281-T1-100,8,8
Bath Towels,Stella Bath Towel Collection,White / Hand,HT-1071-T2-100,8,8
Fancies,Chloe,Ebony / Hand,HT-1093-T1-900,8,8
Fancies,Milano,Grey Milano / Hand,HT-1323-T1-103,8,8
Fancies,Milano Bath Towel Collection,Mineral Milano / Hand,HT-1323-T1-302,8,8
Fancies,Paloma,Grey Paloma / Hand,HT-1324-T1-203,8,8
Fancies,Paloma Bath Towel Collection,Grey Paloma / Hand,HT-1324-T1-203,8,8
Solids,Noel,Whisper / Hand,813232000000,8,8
Solids,Noel,Silver / Hand,813232000000,8,8
Solids,Noel,Seagreen / Hand,813232000000,8,8
Solids,Noel Bath Towel,White / Hand,HT-1436-T1-100,8,8
Solids,Noel Bath Towel Collection,White / Hand,HT-1436-T1-100,8,8
Solids,Perugia Bath Towel,White / Hand,HT-1014-T4-100,8,8
Solids,Perugia Bath Towel,White / Hand,HT-1014-T4-100,8,8
Solids,Perugia Bath Towel,Vintage White / Hand,HT-1014-T4-122,8,8
Solids,Perugia Bath Towel,Vintage White / Hand,HT-1014-T4-122,8,8
Solids,Perugia Bath Towel Collection,Seagreen / Hand,HT-1014-T4-806,8,8
Solids,Perugia Bath Towel Collection,White / Hand,HT-1014-T4-100,8,8
Solids,Perugia Bath Towel Collection,Dove / Hand,HT-1014-T4-217,8,8
Solids,Perugia Bath Towel Collection,Mimosa / Hand,HT-1014-T4-1026,8,8
Solids,Perugia Bath Towel Collection,Vintage White / Hand,HT-1014-T4-122,8,8
Solids,Perugia Bath Towel Collection,Soft Shell Pink / Hand,HT-1014-T4-1031,8,8
Solids,Santiago,White with Denim / Hand,HT-1322-T4-318,8,8
Solids,Santiago,Ivory with Mineral / Hand,HT-1322-T4-302,8,8
Solids,Santiago,White with Orange Punch / Hand,HT-1322-T4-1103,8,8
Solids,Santiago Bath Towel,White with Denim / Hand,HT-1322-T4-318,8,8
Solids,Santiago Bath Towel,Ivory with Mimosa / Hand,HT-1322-T4-1031,8,8
Solids,Santiago Bath Towel,White with Orange Punch / Hand,HT-1322-T4-1103,8,8
Solids,Santiago Bath Towel,Ivory with Mineral / Hand,HT-1322-T4-302,8,8
Solids,Santiago Bath Towel Collection,White with Denim / Hand,HT-1322-T4-318,8,8
Solids,Santiago Bath Towel Collection,Ivory with Mineral / Hand,ht-1322-t4-302,8,8
Solids,Santiago Bath Towel Collection,White with Grey / Hand,HT-1322-T1-203,8,8
Solids,Santiago Bath Towel Collection,White with Eggshell / Hand,HT-1322-T1-356,8,8
Solids,Santiago Bath Towel Collection,White with Orange Punch / Hand,HT-1322-T4-1103,8,8
Solids,Santiago Bath Towel Collection,Ivory with Mimosa / Hand,HT-1322-T4-1031,8,8
Solids,Santiago Bath Towel Collection,White with White / Hand,HT-1322-T1-100,8,8
Solids,Santiago Bath Towel Collection,White with White / Hand,HT-1322-T1-100,8,8
Solids,Santiago Bath Towel Collection,White with Linen / Hand,HT-1322-T1-404,8,8
Accessories,Isadora Bath Accessories,Shiny White / Pump,LD-1152-A4-1200,10,10
Accessories,Isadora Bath Accessories,Shiny White / Jar,JAR-1152-A4-1200,10,10
Accessories,Isadora Bath Accessories,Shiny White / Jar,JAR-1152-A4-1200,10,10
Accessories,Isadora Bath Accessories,Shiny White / Pump,LD-1152-A4-1200,10,10
Accessories,Medici Bath Accessories,Matte White / Pump,LD-1066-A2-100,10,10
Accessories,Medici Bath Accessories,Matte White / Pump,LD-1066-A2-100,10,10
Accessories,Perugia Bath Accessories,White / Tmblr,TUM-1014-A2-100,10,10
Accessories,Perugia Bath Accessories,White / Pump,LD-1014-A2-100,10,10
Accessories,Perugia Bath Accessories,White / Pump,LD-1014-A2-100,10,10
Accessories,Perugia Bath Accessories,White / Tmblr,TUM-1014-A2-100,10,10
Accessories,Petite Dot Bath Accessories,Jar,JAR-1352-A2-100,10,10
Solids,Linen,Beige / Wash,WT-1384-T4-404,10,10
Solids,Linen,Opal / Wash,WT-1384-T4-387,10,10
Solids,Linen,Oatmeal / Wash,WT-1384-T4-100,10,10
Solids,Linen Bath Towel Collection,Cedar / Wash,WT-1384-T4-230,10,10
Solids,Linen Bath Towel Collection,Opal / Wash,WT-1384-T4-387,10,10
Solids,Linen Bath Towel Collection,Beige / Wash,WT-1384-T4-404,10,10
Solids,Linen Bath Towel Collection,Oatmeal / Wash,WT-1384-T4-100,10,10
Bath Towel,Microcotton Luxury Bath Towel Collection,Paprika / Hand,10102HAE85,11,11
Bath Towel,Microcotton Luxury Bath Towel Collection,Periwinkle / Hand,10102HAB25,11,11
Bath Towel,Microcotton Luxury Bath Towel Collection,Azure / Hand,10102HAB56,11,11
Bath Towel,Microcotton Luxury Bath Towel Collection,Aqua / Hand,10102HAB26,11,11
Bath Towel,Microcotton Luxury Bath Towel Collection,Navy / Hand,10102HAB90,11,11
Bath Towel,Microcotton Luxury Bath Towel Collection,Wheat / Hand,10102HAY35,11,11
Bath Towel,Microcotton Luxury Bath Towel Collection,Steel / Hand,10102HAK65,11,11
Bath Towel,Microcotton Luxury Bath Towel Collection,Bamboo / Hand,10102HAG40,11,11
Bath Towel,Microcotton Luxury Bath Towel Collection,White / Hand,10102HAW01,11,11
Bath Towel,Microcotton Luxury Bath Towel Collection,Chocolate / Hand,10102HAO90,11,11
Bath Towel,Microcotton Luxury Bath Towel Collection,Claret / Hand,10102HAR90,11,11
Bath Towel,Microcotton Luxury Bath Towel Collection,Ivory / Hand,10102HAN01,11,11
Bath Towel,Microcotton Luxury Bath Towel Collection,Black / Hand,10102HAK98,11,11
Bath Towel,Microcotton Luxury Bath Towel Collection,Latte / Hand,10102HAO40,11,11
Bath Towel,Microcotton Luxury Bath Towel Collection,Oat / Hand,10102HAO15,11,11
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Ivory / Sheet,BS-1428-T4-101,11.5,11.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Nickel / Sheet,BS-1428-T4-205,11.5,11.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom White / Sheet,BS-1428-T4-100,11.5,11.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Mimosa / Sheet,BS-1428-T4-1026,11.5,11.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Navy / Sheet,BS-1428-T4-318,11.5,11.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Orange Punch / Sheet,BS-1428-T4-1103,11.5,11.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Breeze Blue / Sheet,BS-1428-T4-366,11.5,11.5
"Bath Towels, Fashion Bath Towels",Heirloom Bath Towel Collection,Heirloom Sky / Sheet,BS-1428-T4-350,11.5,11.5
